               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.038856,             0.02091,           0.0070288,             0.75746,             0.61962,             0.69698,             0.33024,            0.037375,            0.016734,           0.0063295,            0.008086,            0.008086,            0.008086
                  60,             0.03888,            0.021096,           0.0070415,             0.68816,             0.64424,             0.70058,             0.33445,            0.036713,            0.016772,           0.0065338,            0.008053,            0.008053,            0.008053
                  61,            0.038894,             0.02138,           0.0067172,              0.6897,             0.65718,             0.70067,             0.34638,            0.036349,            0.016727,           0.0061141,             0.00802,             0.00802,             0.00802
                  62,            0.038442,            0.021195,           0.0066381,             0.70516,             0.59982,             0.69287,             0.33259,             0.03719,            0.017181,           0.0070706,            0.007987,            0.007987,            0.007987
                  63,            0.038254,            0.021443,            0.007011,             0.69268,             0.65106,             0.72233,             0.34187,            0.036243,             0.01653,           0.0056401,            0.007954,            0.007954,            0.007954
                  64,            0.038485,            0.021057,           0.0068756,             0.68417,             0.55856,             0.64359,             0.29761,            0.039024,             0.01838,           0.0095306,            0.007921,            0.007921,            0.007921
                  65,            0.038311,             0.02103,           0.0064186,             0.69868,             0.65993,             0.72131,             0.34913,            0.036304,            0.016537,           0.0061655,            0.007888,            0.007888,            0.007888
                  66,            0.038573,            0.021314,           0.0065824,             0.76006,             0.66921,             0.73471,             0.35765,            0.035954,            0.016407,           0.0062247,            0.007855,            0.007855,            0.007855
                  67,            0.037961,            0.021208,           0.0067114,             0.68278,             0.59616,             0.65977,             0.31227,            0.039152,            0.017349,           0.0073116,            0.007822,            0.007822,            0.007822
                  68,             0.03799,            0.021075,            0.006327,             0.69781,             0.64261,             0.71406,             0.34471,            0.035952,             0.01665,           0.0054356,            0.007789,            0.007789,            0.007789
                  69,            0.037944,            0.021023,           0.0064931,             0.69306,             0.66238,             0.70848,             0.35041,            0.035696,              0.0166,           0.0066623,            0.007756,            0.007756,            0.007756
                  70,            0.037866,            0.021146,           0.0062407,             0.74527,             0.64531,              0.7275,             0.35079,            0.036167,            0.016469,           0.0057433,            0.007723,            0.007723,            0.007723
                  71,            0.037801,            0.020902,           0.0064569,             0.71401,             0.64123,             0.72273,             0.34976,            0.036054,            0.016257,            0.006656,             0.00769,             0.00769,             0.00769
                  72,              0.0377,            0.020998,           0.0060224,               0.755,             0.66199,             0.74839,             0.36661,            0.035807,            0.016171,            0.006315,            0.007657,            0.007657,            0.007657
                  73,            0.037527,            0.020436,           0.0063757,             0.73649,             0.66755,             0.74267,             0.35979,            0.036314,            0.016453,            0.005906,            0.007624,            0.007624,            0.007624
                  74,             0.03756,            0.020377,           0.0059583,             0.66622,             0.68917,              0.7169,             0.35733,            0.035895,            0.016423,           0.0063132,            0.007591,            0.007591,            0.007591
                  75,             0.03776,            0.020356,           0.0064179,             0.72361,             0.63606,              0.7087,             0.34005,            0.036457,            0.016664,           0.0065785,            0.007558,            0.007558,            0.007558
                  76,            0.037384,            0.020581,           0.0059499,             0.73716,             0.67544,             0.74133,             0.36242,            0.035751,             0.01626,           0.0051259,            0.007525,            0.007525,            0.007525
                  77,            0.037375,            0.020705,           0.0059969,             0.68692,             0.65331,             0.69713,               0.335,            0.037584,             0.01684,           0.0067427,            0.007492,            0.007492,            0.007492
                  78,            0.037035,            0.020448,           0.0057103,              0.7739,             0.69413,             0.77192,             0.37818,            0.034874,             0.01608,           0.0052364,            0.007459,            0.007459,            0.007459
                  79,            0.037216,            0.020563,           0.0061485,             0.74165,             0.65098,             0.72917,             0.36468,            0.035113,            0.016142,           0.0059483,            0.007426,            0.007426,            0.007426
                  80,             0.03729,            0.020906,            0.006087,             0.74605,             0.68167,              0.7498,              0.3667,            0.035178,            0.016079,            0.005591,            0.007393,            0.007393,            0.007393
                  81,            0.037364,            0.020762,            0.006236,             0.76215,             0.62888,             0.73116,             0.35921,            0.035535,            0.016228,           0.0057728,             0.00736,             0.00736,             0.00736
                  82,            0.037108,            0.020319,           0.0056587,             0.73634,             0.67907,             0.74308,             0.36588,            0.035251,            0.016027,           0.0055567,            0.007327,            0.007327,            0.007327
                  83,            0.037151,            0.020743,           0.0057748,             0.78701,             0.66066,             0.75244,             0.37116,            0.035081,            0.016004,           0.0052465,            0.007294,            0.007294,            0.007294
                  84,             0.03683,            0.020157,           0.0057588,             0.72016,             0.67937,             0.73723,             0.36717,            0.035218,            0.016069,           0.0061368,            0.007261,            0.007261,            0.007261
                  85,            0.037068,            0.020299,            0.005715,             0.75643,             0.65346,             0.73851,             0.36351,            0.035388,              0.0161,           0.0055447,            0.007228,            0.007228,            0.007228
                  86,            0.036654,            0.020326,           0.0056204,             0.73496,              0.6894,             0.74268,              0.3715,            0.035173,            0.016008,           0.0056566,            0.007195,            0.007195,            0.007195
                  87,            0.036557,            0.020201,            0.005612,             0.73202,             0.70027,             0.76019,             0.37647,            0.035021,            0.015907,           0.0049318,            0.007162,            0.007162,            0.007162
